roadsectionid,coordx,coordy,cctvresolution,filecreatetime,cctvtype,cctvformat,cctvname,cctvurl
,126.8927875,37.14302588,,,1,HLS,[국도 39호선] 화성 지월교차로,http://cctvsec.ktict.co.kr/4168/U0h4Bj3gmgKYaEEB7ulDeHRqVEHhat3kiL+Prwh1HTCN3Gal1wUHfTJVrYMD278/neD2ibBMabr81YACv738ZvPcriylSdQS9BZ7vdTzM1I=
,126.9003591,37.11802091,,,1,HLS,[국도39호선] 화성 제암육교,http://cctvsec.ktict.co.kr/4169/AWdxsXuJnQl0bJdcCKTYX9Xss+75302Us55XMq+QBeskGMgSgsik9VHnFCB4Cd6ofPDXI0SsC8xzKdycuritvtSb9MHGZ4xfbjXfsMOZX10=
,126.8752729,37.22220092,,,1,HLS,[국도 39호선] 화성 양노교차로,http://cctvsec.ktict.co.kr/4170/otmQhGTUEiuKOXxeG0/mk0CfyyXafxW2z+qDAdNdfXqnJtL+xYMnlZqi/kqjZl17GquRmUMvnBxmx2k0CYJ3ECi5tiE4fzIMBIxnRyqsk7Y=
,126.91384,37.071883,,,1,HLS,[국도39호선] 화성 요당2리,http://cctvsec.ktict.co.kr/4171/OjPKU0B/Ehk06bsC+yIwqYZ4+12wMLTMBa0/ddTSNBoGD4TanddDccY/seOC7wbmdsPpLlGK57KpwpzPBw0ROtmzMXN8G/gt2FcGvLVc13c=
,126.9019836,37.09961835,,,1,HLS,[국도 39호선] 화성 상신지하차도교차로,http://cctvsec.ktict.co.kr/4172/x7za+VJY7nLmIyHSlh+kZaJYtX90do62KhF8MMszcO3+ozAqy2HN435+hhBhX4GP3LHJEu4QCTGKCGzf9gLVBFHBd229xpnike7NJEX7OQg=
,126.9310671,37.04909753,,,1,HLS,[국도 39호선] 평택 청북교차로,http://cctvsec.ktict.co.kr/4173/RqMTbeMaTdIXNkv2YvO7v/nqfrqwwZ6S0Ese2ggAc2JPuqIiv6elsLCK7daDNrfaSbo8zZqxKJ5ExB4tUCXRNk7D0s4NkPtaTyv+tNtdzwk=
,126.9461948,37.01442294,,,1,HLS,[국도 39호선] 평택 용성3리,http://cctvsec.ktict.co.kr/4174/0LR87ydDb2I77b7+Xny9FWY2dmoRIaAKF2BjVqp27GKzrU7mCVNkq6OYZTMxPZNLcgN1lJCwyxowGQ8UuNKkNcIc8NwFpsyI9jfQNNbjHEA=
,126.9387053,36.99656097,,,1,HLS,[국도 39호선] 평택 금곡삼거리,http://cctvsec.ktict.co.kr/4175/cTlzSqi/j2uA3eZfBPZ2ig9HS6YbFVXZYZq2OoPI1GbSTs/i6ezBQimN5Kgp5rnXvgaGr7RXWVK/e705gMW9zX0Hh4H+3Kvrq0mPLw0PISw=
,126.9249815,36.9606678,,,1,HLS,[국도 39호선] 평택 인광육교,http://cctvsec.ktict.co.kr/4176/z9aXa5wIqDygvoXWx89lW+e3j+O9zUAAOsAvGz1XnUt1f5gKo3mlbX/RepOB8h6nlQw2ZsK7UxkV6CqJcLhP5ZoKU39Eatt8U+HUaNFoRLo=
,126.9124794,36.95030894,,,1,HLS,[국도 39호선] 평택 기산교차로,http://cctvsec.ktict.co.kr/4177/tE0ov4FGcVAWuOEMZ+HqzarSeyJrNe6QRTkCI7aY0lRd0OA8wWzwr6SC7o9gnzuKHHKZtJSByvI382XsoEzfzXDE7eSi0necmMNupnim/wE=
